bootstrap,C_mu_bits,C_q_qubits,memory_gap
1,1.9736522732052806,1.9278328837155152,0.04581938948976538
2,1.9756011578338373,1.9421860757277827,0.033415082106054594
3,1.9649432904384603,1.9117294756090204,0.053213814829439876
4,1.980420252754379,1.9442752852450718,0.03614496750930729
5,1.9711409733547551,1.9380823888936263,0.03305858446112886
6,1.9632154985340065,1.9277189013240987,0.03549659720990772
7,1.9635678626459971,1.9240531497585391,0.039514712887458
8,1.9672284744716575,1.9267584807168028,0.040469993754854716
9,1.975630916837576,1.9399927469218032,0.035638169915772844
10,1.9759571689046023,1.9383829754488533,0.03757419345574897
11,1.9666751968924492,1.929635692535167,0.037039504357282205
12,1.9493799566640366,1.8999802045090584,0.04939975215497827
13,1.9704202263122732,1.938609209427725,0.03181101688454824
14,1.955562205944522,1.8980196127941347,0.05754259315038723
15,1.9730943651856345,1.928900944962444,0.044193420223190616
16,1.9533225888407304,1.911943165118794,0.04137942372193648
17,1.9563598840008953,1.9137850620100136,0.042574821990881695
18,1.9511764903079796,1.91957984679492,0.031596643513059464
19,1.97013978981754,1.9335603898569147,0.0365793999606252
20,1.9743230666737872,1.939021292993885,0.03530177367990217
21,1.9700028953672268,1.9343964794213742,0.035606415945852676
22,1.9699356374732786,1.9328211993753914,0.03711443809788717
23,1.9811040287255426,1.942294595020304,0.03880943370523848
24,1.9734127808178281,1.9410892427572592,0.03232353806056887
25,1.97594276252772,1.9447739908651092,0.031168771662610784
26,1.9816321112392692,1.9484748528267808,0.0331572584124884
27,1.9734660688175,1.94144072467536,0.03202534414214009
28,1.9744081435004754,1.9284261546305481,0.045981988869927326
29,1.9609179932221346,1.913087560303524,0.047830432918610555
30,1.9622732513241061,1.9257221461582477,0.036551105165858466
31,1.9682471088169278,1.9291063226230056,0.03914078619392214
32,1.9543888722122031,1.9222521622812052,0.03213670993099793
33,1.9492017264801098,1.9095409194805795,0.03966080699953034
34,1.9675036709406557,1.9342827746444717,0.033220896296183966
35,1.9814010782464002,1.9490919677382137,0.03230911050818652
36,1.9785610495349555,1.9382152069482737,0.040345842586681835
37,1.9613152944724124,1.9219728845656867,0.03934240990672566
38,1.9647079060881785,1.9260708959147532,0.038637010173425246
39,1.9786159509152628,1.9451395423879752,0.033476408527287616
40,1.9587900791130624,1.9220996881710546,0.03669039094200777
41,1.9733830489502677,1.9341729117063022,0.03921013724396549
42,1.9370734839628434,1.9068273091042327,0.030246174858610697
43,1.9768944727712159,1.9471165932763974,0.02977787949481847
44,1.967193941988857,1.908702916899003,0.05849102508985404
45,1.9467850045977553,1.9055585592816708,0.04122644531608444
46,1.9693495897661368,1.9434913638057574,0.025858225960379455
47,1.9532174992236708,1.91792241660773,0.03529508261594083
48,1.9656798771269341,1.9256271903174413,0.04005268680949281
49,1.9307273570297498,1.8698098939497678,0.060917463079982026
50,1.9465037426078553,1.9100690514417282,0.036434691166127076
51,1.9790136541268808,1.9403536085599646,0.03866004556691616
52,1.961327704895579,1.9242932356567826,0.0370344692387965
53,1.9775288580443982,1.9365091044207725,0.04101975362362564
54,1.9683006797539706,1.9253987770331285,0.042901902720842156
55,1.97783961711639,1.9407917256732197,0.03704789144317022
56,1.925317169046277,1.886516133132078,0.03880103591419881
57,1.9704486657524594,1.938854144793847,0.03159452095861237
58,1.976465810260857,1.9355865545063033,0.040879255754553645
59,1.9709958395363931,1.930530291333694,0.04046554820269921
60,1.9713822344488938,1.9277897285406977,0.04359250590819608
61,1.9716145786970363,1.932717094568758,0.038897484128278315
62,1.9820077511810497,1.9409190867428316,0.041088664438218014
63,1.9748937385533076,1.9313979096185685,0.043495828934739134
64,1.9600305337265915,1.916192635687156,0.04383789803943561
65,1.9307249949144352,1.8941400865582687,0.03658490835616646
66,1.981826145865611,1.9445990837062737,0.037227062159337354
67,1.9486067471308177,1.9032621303431174,0.0453446167877003
68,1.956955889086283,1.9040392154001857,0.052916673686097315
69,1.9344031100584516,1.89410824527037,0.04029486478808164
70,1.9758217905713384,1.9293237927578066,0.04649799781353181
71,1.981892420549056,1.9497150156893022,0.032177404859753844
72,1.9772876554855543,1.9457770490732123,0.031510606412342046
73,1.969461026047587,1.9195841289195537,0.04987689712803345
74,1.9742469069088742,1.9390569508185433,0.03518995609033082
75,1.9634964352494066,1.9210136695662432,0.04248276568316345
76,1.9430505976149584,1.904337701524044,0.03871289609091444
77,1.954727590973702,1.9237041024458632,0.03102348852783887
78,1.9807614373606108,1.9426014405835232,0.03815999677708759
79,1.974942019073144,1.9442673856745127,0.03067463339863119
80,1.9661863589596522,1.929401034576971,0.03678532438268123
81,1.953291027362485,1.9163952696615958,0.036895757700889265
82,1.9558390800405712,1.91189090847292,0.04394817156765107
83,1.9679959848649737,1.9293302626940867,0.03866572217088704
